нули,время,давление
0,0,5.16146e+06
0,1924.17,4.93322e+06
0,3665.08,4.89533e+06
0,5772.51,5.03374e+06
0,8551.86,5.10571e+06
0,9162.71,4.89612e+06
0,10995.2,4.8964e+06
0,12827.8,4.79675e+06
